Team,Position,PosCategory
ANA,Catcher,3
ANA,First_Baseman,5
ANA,Outfielder,8
ANA,Relief_Pitcher,8
ANA,Shortstop,2
ANA,Starting_Pitcher,7
ANA,Third_Baseman,2
ARZ,Catcher,2
ARZ,First_Baseman,3
ARZ,Outfielder,5
ARZ,Relief_Pitcher,7
ARZ,Second_Baseman,1
ARZ,Shortstop,2
ARZ,Starting_Pitcher,7
ARZ,Third_Baseman,1
ATL,Catcher,2
ATL,First_Baseman,1
ATL,Outfielder,7
ATL,Relief_Pitcher,14
ATL,Second_Baseman,3
ATL,Shortstop,2
ATL,Starting_Pitcher,6
ATL,Third_Baseman,2
BAL,Catcher,3
BAL,First_Baseman,2
BAL,Outfielder,7
BAL,Relief_Pitcher,11
BAL,Second_Baseman,1
BAL,Shortstop,1
BAL,Starting_Pitcher,7
BAL,Third_Baseman,2
BOS,Catcher,3
BOS,First_Baseman,1
BOS,Outfielder,7
BOS,Relief_Pitcher,11
BOS,Second_Baseman,1
BOS,Shortstop,2
BOS,Starting_Pitcher,9
BOS,Third_Baseman,1
CHC,Catcher,3
CHC,First_Baseman,2
CHC,Outfielder,8
CHC,Relief_Pitcher,8
CHC,Second_Baseman,1
CHC,Shortstop,1
CHC,Starting_Pitcher,11
CHC,Third_Baseman,2
CIN,Catcher,3
CIN,First_Baseman,2
CIN,Outfielder,8
CIN,Relief_Pitcher,11
CIN,Second_Baseman,1
CIN,Shortstop,2
CIN,Starting_Pitcher,5
CIN,Third_Baseman,3
CLE,Catcher,2
CLE,First_Baseman,1
CLE,Outfielder,8
CLE,Relief_Pitcher,13
CLE,Second_Baseman,3
CLE,Shortstop,1
CLE,Starting_Pitcher,5
CLE,Third_Baseman,1
COL,Catcher,3
COL,First_Baseman,1
COL,Outfielder,7
COL,Relief_Pitcher,8
COL,Second_Baseman,2
COL,Shortstop,2
COL,Starting_Pitcher,10
COL,Third_Baseman,1
CWS,Catcher,2
CWS,First_Baseman,1
CWS,Outfielder,8
CWS,Relief_Pitcher,8
CWS,Second_Baseman,1
CWS,Shortstop,2
CWS,Starting_Pitcher,7
CWS,Third_Baseman,2
DET,Catcher,2
DET,First_Baseman,2
DET,Outfielder,6
DET,Relief_Pitcher,12
DET,Second_Baseman,3
DET,Shortstop,3
DET,Starting_Pitcher,7
DET,Third_Baseman,1
FLA,Catcher,2
FLA,First_Baseman,1
FLA,Outfielder,7
FLA,Relief_Pitcher,12
FLA,Second_Baseman,1
FLA,Shortstop,2
FLA,Starting_Pitcher,5
FLA,Third_Baseman,2
HOU,Catcher,3
HOU,First_Baseman,2
HOU,Outfielder,5
HOU,Relief_Pitcher,10
HOU,Second_Baseman,5
HOU,Shortstop,1
HOU,Starting_Pitcher,7
HOU,Third_Baseman,1
KC,Catcher,2
KC,First_Baseman,2
KC,Outfielder,6
KC,Relief_Pitcher,9
KC,Second_Baseman,3
KC,Shortstop,2
KC,Starting_Pitcher,9
KC,Third_Baseman,1
LA,Catcher,2
LA,First_Baseman,3
LA,Outfielder,6
LA,Relief_Pitcher,10
LA,Second_Baseman,3
LA,Shortstop,1
LA,Starting_Pitcher,6
LA,Third_Baseman,2
MIN,Catcher,3
MIN,First_Baseman,1
MIN,Outfielder,5
MIN,Relief_Pitcher,8
MIN,Second_Baseman,3
MIN,Shortstop,1
MIN,Starting_Pitcher,7
MIN,Third_Baseman,3
MLW,Catcher,4
MLW,First_Baseman,1
MLW,Outfielder,8
MLW,Relief_Pitcher,8
MLW,Second_Baseman,2
MLW,Shortstop,3
MLW,Starting_Pitcher,7
MLW,Third_Baseman,2
NYM,Catcher,2
NYM,First_Baseman,2
NYM,Outfielder,7
NYM,Relief_Pitcher,13
NYM,Second_Baseman,2
NYM,Shortstop,2
NYM,Starting_Pitcher,9
NYM,Third_Baseman,1
NYY,Catcher,2
NYY,First_Baseman,3
NYY,Outfielder,5
NYY,Relief_Pitcher,10
NYY,Second_Baseman,2
NYY,Shortstop,1
NYY,Starting_Pitcher,7
NYY,Third_Baseman,1
OAK,Catcher,3
OAK,First_Baseman,2
OAK,Outfielder,5
OAK,Relief_Pitcher,11
OAK,Second_Baseman,2
OAK,Shortstop,3
OAK,Starting_Pitcher,8
OAK,Third_Baseman,2
PHI,Catcher,4
PHI,First_Baseman,2
PHI,Outfielder,6
PHI,Relief_Pitcher,11
PHI,Second_Baseman,2
PHI,Shortstop,1
PHI,Starting_Pitcher,8
PHI,Third_Baseman,1
PIT,Catcher,2
PIT,First_Baseman,3
PIT,Outfielder,7
PIT,Relief_Pitcher,10
PIT,Second_Baseman,1
PIT,Shortstop,1
PIT,Starting_Pitcher,10
PIT,Third_Baseman,1
SD,Catcher,2
SD,First_Baseman,1
SD,Outfielder,7
SD,Relief_Pitcher,13
SD,Second_Baseman,2
SD,Shortstop,2
SD,Starting_Pitcher,5
SEA,Catcher,2
SEA,First_Baseman,2
SEA,Outfielder,7
SEA,Relief_Pitcher,10
SEA,Second_Baseman,2
SEA,Shortstop,2
SEA,Starting_Pitcher,8
SEA,Third_Baseman,1
SF,Catcher,2
SF,First_Baseman,2
SF,Outfielder,7
SF,Relief_Pitcher,11
SF,Second_Baseman,2
SF,Shortstop,1
SF,Starting_Pitcher,7
SF,Third_Baseman,2
STL,Catcher,2
STL,First_Baseman,2
STL,Outfielder,6
STL,Relief_Pitcher,11
STL,Second_Baseman,2
STL,Shortstop,1
STL,Starting_Pitcher,6
STL,Third_Baseman,2
TB,Catcher,3
TB,First_Baseman,1
TB,Outfielder,5
TB,Relief_Pitcher,10
TB,Second_Baseman,2
TB,Shortstop,1
TB,Starting_Pitcher,9
TB,Third_Baseman,1
TEX,Catcher,4
TEX,First_Baseman,1
TEX,Outfielder,6
TEX,Relief_Pitcher,11
TEX,Second_Baseman,1
TEX,Shortstop,2
TEX,Starting_Pitcher,8
TEX,Third_Baseman,1
TOR,Catcher,2
TOR,First_Baseman,1
TOR,Outfielder,3
TOR,Relief_Pitcher,12
TOR,Second_Baseman,3
TOR,Shortstop,2
TOR,Starting_Pitcher,7
TOR,Third_Baseman,2
WAS,Catcher,2
WAS,First_Baseman,2
WAS,Outfielder,7
WAS,Relief_Pitcher,14
WAS,Second_Baseman,1
WAS,Shortstop,3
WAS,Starting_Pitcher,6
WAS,Third_Baseman,1
